T,EC,VWC,Emisi
26.75,0.04,0.32265,3.37
26.475,0.04,0.32155,3.546666667
26.25,0.04,0.321075,3.453333333
26.1,0.04,0.31915,3.406666667
26.1,0.04,0.319775,3.913333333
26.225,0.04,0.319525,4.26
26.85,0.04,0.321875,4.03
27.3,0.0525,0.3637,3.13
28,0.045,0.3563,3.78
28.95,0.04,0.351725,3.996666667
29.45,0.04,0.34725,4.073333333
29.55,0.04,0.3439,4.12
25.625,0.0275,0.309475,3.77
26.25,0.03,0.310525,3.82
27.275,0.0275,0.3132,4.02
28.65,0.02,0.313625,4.123333333
29.625,0.02,0.313275,4.743333333
30.9,0.02,0.313775,4.826666667
31.4,0.02,0.311625,5.44
26.775,0.06,0.3724,0.176666667
25.5,0.03,0.365175,1.893333333
25.4,0.03,0.363925,1.946666667
25.4,0.03,0.362375,2.143333333
25.3,0.03,0.360525,2.2
25.15,0.03,0.35765,2.4
25.025,0.03,0.35655,2.496666667
24.875,0.03,0.354925,2.483333333
24.725,0.03,0.3537,2.433333333
24.6,0.03,0.3522,2.553333333
24.625,0.03,0.350775,2.946666667
30.6,0.02,0.346475,5.756666667
31.425,0.02,0.342225,5.946666667
31.4,0.02,0.338125,5.756666667
31.15,0.02,0.333875,5.456666667
31.3,0.02,0.330825,5.076666667
31.175,0.02,0.327525,4.743333333
30.575,0.02,0.3249,4.516666667
29.8,0.02,0.321075,4.36
29,0.02,0.3182,4.32
28.3,0.02,0.316575,4.256666667
27.75,0.02,0.31535,4.28
27.3,0.02,0.314875,4.25
26.95,0.02,0.313275,4.166666667
26.7,0.02,0.312975,4.14
26.525,0.02,0.31245,4.233333333
26.4,0.02,0.311375,4.166666667
26.275,0.02,0.31095,4.173333333
26.125,0.02,0.31125,4.256666667
25.975,0.02,0.311175,4.086666667
25.775,0.02,0.31075,3.996666667
25.725,0.02,0.310075,4.036666667
26.05,0.02,0.3108,4.203333333
26.775,0.02,0.3126,4.466666667
28.4,0.02,0.31615,4.756666667
31,0.02,0.319125,5.14
32.6,0.02,0.318225,5.25
32.1,0.02,0.313175,5.05
31.55,0.02,0.308575,4.786666667
31.925,0.02,0.3091,4.68
32.1,0.02,0.3071,4.273333333
31.6,0.02,0.3044,4.306666667
30.8,0.02,0.3002,4.266666667
30,0.02,0.2969,4.09
29.25,0.02,0.295825,4.04
28.675,0.02,0.29385,4.153333333
28.175,0.02,0.292125,4.163333333
27.75,0.02,0.291975,4.066666667
27.35,0.02,0.28975,4.116666667
27.025,0.02,0.289275,3.93
26.725,0.02,0.28905,4.083333333
26.55,0.02,0.288325,3.99
26.35,0.02,0.287475,3.89
26.15,0.02,0.28615,4.1
